k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9
2,1,40-60,0.38888888888888884,,,,,,,,
2,1,30-70,0.5873015873015874,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037037,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.3888888888888888,,,,,,,,
2,1,30-70,0.5873015873015877,,,,,,,,
2,1,20-80,1.0833333333333328,,,,,,,,
2,1,10-90,2.703703703703704,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888884,,,,,,,,
2,1,30-70,0.5873015873015872,,,,,,,,
2,1,20-80,1.0833333333333335,,,,,,,,
2,1,10-90,2.703703703703703,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888884,,,,,,,,
2,1,30-70,0.5873015873015874,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.7037037037037037,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.38888888888888895,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333335,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
2,1,50-50,0.33333333333333337,,,,,,,,
2,1,40-60,0.3888888888888889,,,,,,,,
2,1,30-70,0.5873015873015873,,,,,,,,
2,1,20-80,1.0833333333333333,,,,,,,,
2,1,10-90,2.703703703703703,,,,,,,,
2,1,50-50,0.3333333333333333,,,,,,,,
2,1,40-60,0.3888888888888888,,,,,,,,
2,1,30-70,0.5873015873015872,,,,,,,,
2,1,20-80,1.0833333333333335,,,,,,,,
2,1,10-90,2.7037037037037033,,,,,,,,
3,2,33-33-34,0.5075757575757583,0.4928698752228172,,,,,,,
3,2,20-30-50,0.8871459425887149,0.4461873907446171,,,,,,,
3,2,10-40-50,2.0557777493406166,0.3192222506593867,,,,,,,
3,2,10-30-60,2.057946642902718,0.442053357097278,,,,,,,
3,2,10-20-70,2.0664489678389835,0.7906938893038655,,,,,,,
3,2,10-10-80,2.2499999999999907,1.812499999999998,,,,,,,
3,2,33-33-34,0.5075757575757579,0.49286987522281606,,,,,,,
3,2,20-30-50,0.8871459425887189,0.4461873907446174,,,,,,,
3,2,10-40-50,2.055777749340615,0.3192222506593878,,,,,,,
3,2,10-30-60,2.0579466429027287,0.4420533570972778,,,,,,,
3,2,10-20-70,2.0664489678390012,0.7906938893038669,,,,,,,
3,2,10-10-80,2.249999999999999,1.8125,,,,,,,
3,2,33-33-34,0.5075757575757576,0.49286987522281633,,,,,,,
3,2,20-30-50,0.8871459425887157,0.44618739074461733,,,,,,,
3,2,10-40-50,2.055777749340611,0.3192222506593871,,,,,,,
3,2,10-30-60,2.05794664290272,0.44205335709727844,,,,,,,
3,2,10-20-70,2.0664489678389897,0.7906938893038655,,,,,,,
3,2,10-10-80,2.2499999999999973,1.8124999999999976,,,,,,,
3,2,33-33-34,0.5075757575758205,0.4928698752229341,,,,,,,
3,2,20-30-50,0.8871459425886608,0.44618739074458014,,,,,,,
3,2,10-40-50,2.055777749340864,0.31922225065939114,,,,,,,
3,2,10-30-60,2.0579466429024587,0.44205335709725824,,,,,,,
3,2,10-20-70,2.0664489678405817,0.790693889303908,,,,,,,
3,2,10-10-80,2.249999999999368,1.8124999999994644,,,,,,,
3,2,33-33-34,0.5075757575757571,0.49286987522281317,,,,,,,
3,2,20-30-50,0.8871459425887153,0.44618739074461755,,,,,,,
3,2,10-40-50,2.05577774934061,0.31922225065938703,,,,,,,
3,2,10-30-60,2.0579466429027224,0.442053357097279,,,,,,,
3,2,10-20-70,2.066448967838989,0.7906938893038664,,,,,,,
3,2,10-10-80,2.2499999999999982,1.8124999999999996,,,,,,,
3,2,33-33-34,0.5075757575757577,0.49286987522281667,,,,,,,
3,2,20-30-50,0.8871459425887165,0.44618739074461805,,,,,,,
3,2,10-40-50,2.055777749340612,0.3192222506593871,,,,,,,
3,2,10-30-60,2.0579466429027224,0.442053357097279,,,,,,,
3,2,10-20-70,2.0664489678389915,0.7906938893038659,,,,,,,
3,2,10-10-80,2.25,1.8125000000000009,,,,,,,
3,2,33-33-34,0.5075757575757575,0.49286987522281633,,,,,,,
3,2,20-30-50,0.887145942588716,0.44618739074461755,,,,,,,
3,2,10-40-50,2.055777749340613,0.31922225065938736,,,,,,,
3,2,10-30-60,2.057946642902722,0.4420533570972785,,,,,,,
3,2,10-20-70,2.0664489678389923,0.7906938893038664,,,,,,,
3,2,10-10-80,2.2499999999999987,1.8124999999999987,,,,,,,
3,2,33-33-34,0.5075757575756662,0.49286987522250414,,,,,,,
3,2,20-30-50,0.8871459425892549,0.4461873907448569,,,,,,,
3,2,10-40-50,2.055777749341841,0.3192222506595128,,,,,,,
3,2,10-30-60,2.0579466429035422,0.4420533570973515,,,,,,,
3,2,10-20-70,2.0664489678372275,0.7906938893036575,,,,,,,
3,2,10-10-80,2.2500000000003277,1.8125000000007143,,,,,,,
3,2,33-33-34,0.5075757575757577,0.4928698752228165,,,,,,,
3,2,20-30-50,0.8871459425887158,0.44618739074461733,,,,,,,
3,2,10-40-50,2.0557777493406113,0.31922225065938714,,,,,,,
3,2,10-30-60,2.057946642902721,0.4420533570972781,,,,,,,
3,2,10-20-70,2.0664489678389897,0.7906938893038659,,,,,,,
3,2,10-10-80,2.2500000000000013,1.8125000000000009,,,,,,,
3,2,33-33-34,0.5075757575757573,0.49286987522281617,,,,,,,
3,2,20-30-50,0.8871459425887173,0.4461873907446175,,,,,,,
3,2,10-40-50,2.0557777493406166,0.31922225065938725,,,,,,,
3,2,10-30-60,2.0579466429027238,0.4420533570972788,,,,,,,
3,2,10-20-70,2.066448967838993,0.790693889303866,,,,,,,
3,2,10-10-80,2.2500000000000004,1.8124999999999996,,,,,,,
3,2,33-33-34,0.5075757575757578,0.4928698752228166,,,,,,,
3,2,20-30-50,0.8871459425887166,0.44618739074461733,,,,,,,
3,2,10-40-50,2.0557777493406126,0.3192222506593869,,,,,,,
3,2,10-30-60,2.0579466429027167,0.442053357097278,,,,,,,
3,2,10-20-70,2.0664489678390012,0.7906938893038659,,,,,,,
3,2,10-10-80,2.2500000000000004,1.8124999999999984,,,,,,,
3,2,33-33-34,0.5075757575757669,0.492869875222822,,,,,,,
3,2,20-30-50,0.8871459425883457,0.44618739074456093,,,,,,,
3,2,10-40-50,2.0557777493411855,0.3192222506594147,,,,,,,
3,2,10-30-60,2.057946642901892,0.44205335709725224,,,,,,,
3,2,10-20-70,2.066448967839865,0.7906938893038806,,,,,,,
3,2,10-10-80,2.250000000000161,1.8125000000001057,,,,,,,
3,2,33-33-34,0.5075757575757599,0.4928698752228408,,,,,,,
3,2,20-30-50,0.887145942588706,0.446187390744611,,,,,,,
3,2,10-40-50,2.0557777493405895,0.3192222506593837,,,,,,,
3,2,10-30-60,2.05794664290276,0.44205335709728444,,,,,,,
3,2,10-20-70,2.0664489678390088,0.7906938893038686,,,,,,,
3,2,10-10-80,2.2499999999999996,1.8125000000000107,,,,,,,
3,2,33-33-34,0.5075757575757577,0.4928698752228151,,,,,,,
3,2,20-30-50,0.887145942588716,0.446187390744618,,,,,,,
3,2,10-40-50,2.05577774934061,0.3192222506593868,,,,,,,
3,2,10-30-60,2.0579466429027238,0.44205335709727944,,,,,,,
3,2,10-20-70,2.0664489678389946,0.7906938893038669,,,,,,,
3,2,10-10-80,2.250000000000001,1.8125000000000016,,,,,,,
3,2,33-33-34,0.5075757575757577,0.49286987522281656,,,,,,,
3,2,20-30-50,0.8871459425887158,0.44618739074461744,,,,,,,
3,2,10-40-50,2.0557777493406126,0.3192222506593873,,,,,,,
3,2,10-30-60,2.0579466429027224,0.44205335709727844,,,,,,,
3,2,10-20-70,2.066448967838992,0.7906938893038655,,,,,,,
3,2,10-10-80,2.249999999999999,1.8124999999999996,,,,,,,
3,2,33-33-34,0.5075757575757571,0.492869875222817,,,,,,,
3,2,20-30-50,0.8871459425887169,0.446187390744618,,,,,,,
3,2,10-40-50,2.0557777493406113,0.3192222506593872,,,,,,,
3,2,10-30-60,2.057946642902722,0.4420533570972791,,,,,,,
3,2,10-20-70,2.0664489678389923,0.790693889303866,,,,,,,
3,2,10-10-80,2.2500000000000004,1.8124999999999987,,,,,,,
3,2,33-33-34,0.5075757575757575,0.4928698752228167,,,,,,,
3,2,20-30-50,0.887145942588716,0.44618739074461755,,,,,,,
3,2,10-40-50,2.0557777493406113,0.31922225065938736,,,,,,,
3,2,10-30-60,2.05794664290272,0.4420533570972788,,,,,,,
3,2,10-20-70,2.066448967838988,0.7906938893038655,,,,,,,
3,2,10-10-80,2.249999999999999,1.8124999999999998,,,,,,,
3,2,33-33-34,0.5075757575757572,0.4928698752228162,,,,,,,
3,2,20-30-50,0.8871459425887154,0.44618739074461716,,,,,,,
3,2,10-40-50,2.0557777493406135,0.3192222506593873,,,,,,,
3,2,10-30-60,2.0579466429027207,0.4420533570972785,,,,,,,
3,2,10-20-70,2.0664489678389915,0.7906938893038663,,,,,,,
3,2,10-10-80,2.25,1.8125,,,,,,,
3,2,33-33-34,0.5075757575757589,0.49286987522281683,,,,,,,
3,2,20-30-50,0.8871459425887182,0.44618739074461744,,,,,,,
3,2,10-40-50,2.0557777493406055,0.3192222506593865,,,,,,,
3,2,10-30-60,2.0579466429026976,0.442053357097278,,,,,,,
3,2,10-20-70,2.066448967839008,0.7906938893038657,,,,,,,
3,2,10-10-80,2.2500000000000187,1.8125000000000067,,,,,,,
3,2,33-33-34,0.5075757575757576,0.49286987522281656,,,,,,,
3,2,20-30-50,0.887145942588716,0.4461873907446175,,,,,,,
3,2,10-40-50,2.055777749340613,0.31922225065938725,,,,,,,
3,2,10-30-60,2.0579466429027207,0.44205335709727844,,,,,,,
3,2,10-20-70,2.0664489678389897,0.790693889303865,,,,,,,
3,2,10-10-80,2.249999999999999,1.8124999999999991,,,,,,,
5,4,20-20-20-20-20,0.6666666666667209,0.666666666666681,0.666666666666665,0.6666666666659364,,,,,
5,4,10-20-20-20-30,1.4092555702985003,0.6666666666668994,0.666666666666672,0.4796333185922013,,,,,
5,4,10-10-20-20-40,1.500000000002487,1.301956281915223,0.6666666666666524,0.44804371808508126,,,,,
5,4,10-10-10-30-40,1.4999999999999496,1.4999999999995726,1.1445955880516125,0.32762663417078164,,,,,
5,4,20-20-20-20-20,0.6666666666667002,0.6666666666666692,0.6666666666666444,0.6666666666662692,,,,,
5,4,10-20-20-20-30,1.4092555702956195,0.6666666666666727,0.6666666666664157,0.4796333185921411,,,,,
5,4,10-10-20-20-40,1.499999999999345,1.301956281914854,0.6666666666666599,0.44804371808496607,,,,,
5,4,10-10-10-30-40,1.5000000000000067,1.4999999999989613,1.1445955880512564,0.3276266341707472,,,,,
5,4,20-20-20-20-20,0.666666666666668,0.6666666666666673,0.6666666666666663,0.6666666666666639,,,,,
5,4,10-20-20-20-30,1.4092555702967065,0.6666666666666666,0.666666666666666,0.4796333185921798,,,,,
5,4,10-10-20-20-40,1.5000000000000016,1.3019562819149832,0.6666666666666673,0.44804371808501703,,,,,
5,4,10-10-10-30-40,1.5000000000000036,1.4999999999999973,1.144595588051461,0.3276266341707572,,,,,
5,4,20-20-20-20-20,0.6666666666669847,0.666666666666687,0.6666666666666682,0.6666666666610808,,,,,
5,4,10-20-20-20-30,1.4092555702933403,0.6666666666667163,0.6666666666665344,0.4796333185913238,,,,,
5,4,10-10-20-20-40,1.4999999999959275,1.3019562819132655,0.6666666666667547,0.4480437180841784,,,,,
5,4,10-10-10-30-40,1.500000000011467,1.4999999999996503,1.14459558806207,0.32762663417316573,,,,,
5,4,20-20-20-20-20,0.6666666666667995,0.6666666666666687,0.6666666666666674,0.6666666666666662,,,,,
5,4,10-20-20-20-30,1.4092555702966694,0.6666666666666679,0.6666666666666603,0.47963331859217295,,,,,
5,4,10-10-20-20-40,1.5000000000000562,1.3019562819149881,0.6666666666666757,0.4480437180850303,,,,,
5,4,10-10-10-30-40,1.5000000000000102,1.499999999999966,1.1445955880514733,0.32762663417075666,,,,,
5,4,20-20-20-20-20,0.6666666666666666,0.6666666666666656,0.6666666666666652,0.6666666666666612,,,,,
5,4,10-20-20-20-30,1.4092555702967,0.6666666666666676,0.6666666666666661,0.4796333185921811,,,,,
5,4,10-10-20-20-40,1.4999999999999984,1.3019562819149815,0.6666666666666633,0.4480437180850123,,,,,
5,4,10-10-10-30-40,1.5000000000000016,1.4999999999999984,1.1445955880514653,0.32762663417075655,,,,,
5,4,20-20-20-20-20,0.6666666666666694,0.6666666666666665,0.6666666666666246,0.6666666666664217,,,,,
5,4,10-20-20-20-30,1.4092555702965694,0.6666666666666916,0.6666666666666671,0.4796333185922454,,,,,
5,4,10-10-20-20-40,1.4999999999998601,1.3019562819149235,0.6666666666666652,0.448043718085004,,,,,
5,4,10-10-10-30-40,1.500000000000099,1.499999999999997,1.1445955880515641,0.32762663417076565,,,,,
5,4,20-20-20-20-20,0.6666666666666858,0.6666666666666697,0.6666666666666652,0.666666666666268,,,,,
5,4,10-20-20-20-30,1.4092555702936678,0.6666666666666697,0.666666666666666,0.47963331859118735,,,,,
5,4,10-10-20-20-40,1.499999999999748,1.3019562819149515,0.6666666666666676,0.4480437180849416,,,,,
5,4,10-10-10-30-40,1.500000000000196,1.4999999999999913,1.1445955880516214,0.3276266341707859,,,,,
5,4,20-20-20-20-20,0.6666666666666685,0.6666666666666673,0.6666666666666667,0.6666666666666666,,,,,
5,4,10-20-20-20-30,1.4092555702967131,0.6666666666666671,0.6666666666666664,0.4796333185921797,,,,,
5,4,10-10-20-20-40,1.4999999999999984,1.3019562819149857,0.6666666666666652,0.44804371808501703,,,,,
5,4,10-10-10-30-40,1.4999999999999967,1.4999999999999927,1.1445955880514598,0.327626634170757,,,,,
5,4,20-20-20-20-20,0.6666666666666768,0.6666666666666682,0.6666666666666655,0.6666666666666202,,,,,
5,4,10-20-20-20-30,1.4092555702965601,0.666666666666667,0.6666666666665723,0.47963331859216807,,,,,
5,4,10-10-20-20-40,1.4999999999997489,1.3019562819149781,0.6666666666666239,0.4480437180849941,,,,,
5,4,10-10-10-30-40,1.5000000000000087,1.499999999999766,1.1445955880514385,0.327626634170755,,,,,
5,4,20-20-20-20-20,0.6666666666666674,0.6666666666666661,0.6666666666666653,0.6666666666666619,,,,,
5,4,10-20-20-20-30,1.4092555702966967,0.6666666666666796,0.6666666666666661,0.4796333185921825,,,,,
5,4,10-10-20-20-40,1.4999999999999787,1.301956281914984,0.666666666666668,0.44804371808501653,,,,,
5,4,10-10-10-30-40,1.5000000000000053,1.5000000000000029,1.144595588051467,0.32762663417075666,,,,,
5,4,20-20-20-20-20,0.6666666666667307,0.6666666666666679,0.6666666666666657,0.6666666666666625,,,,,
5,4,10-20-20-20-30,1.4092555702970406,0.6666666666666673,0.6666666666666616,0.47963331859224534,,,,,
5,4,10-10-20-20-40,1.4999999999999405,1.3019562819149675,0.6666666666666642,0.44804371808500554,,,,,
5,4,10-10-10-30-40,1.5000000000000466,1.5000000000000024,1.1445955880514653,0.3276266341707663,,,,,
5,4,20-20-20-20-20,0.6666666666666728,0.6666666666666715,0.6666666666666616,0.666666666665994,,,,,
5,4,10-20-20-20-30,1.4092555702970557,0.666666666666737,0.6666666666666645,0.4796333185924625,,,,,
5,4,10-10-20-20-40,1.5000000000000269,1.3019562819152268,0.6666666666666631,0.44804371808511717,,,,,
5,4,10-10-10-30-40,1.5000000000001261,1.500000000000003,1.144595588051583,0.32762663417079296,,,,,
5,4,20-20-20-20-20,0.6666666666755564,0.6666666666666943,0.6666666666666721,0.6666666666666585,,,,,
5,4,10-20-20-20-30,1.4092555702973795,0.6666666666674715,0.6666666666666644,0.4796333185946372,,,,,
5,4,10-10-20-20-40,1.5000000000001203,1.301956281916036,0.6666666666666478,0.4480437180853519,,,,,
5,4,10-10-10-30-40,1.500000000000713,1.4999999999999711,1.1445955880528087,0.3276266341711892,,,,,
5,4,20-20-20-20-20,0.6666666666666797,0.6666666666666664,0.6666666666666633,0.6666666666664677,,,,,
5,4,10-20-20-20-30,1.4092555702967058,0.6666666666666655,0.6666666666666156,0.479633318592175,,,,,
5,4,10-10-20-20-40,1.5000000000000056,1.3019562819152504,0.6666666666666878,0.4480437180850493,,,,,
5,4,10-10-10-30-40,1.500000000000089,1.499999999999923,1.1445955880513172,0.3276266341707549,,,,,
5,4,20-20-20-20-20,0.6666666666666807,0.6666666666666681,0.6666666666666656,0.6666666666665106,,,,,
5,4,10-20-20-20-30,1.4092555702969216,0.666666666666671,0.6666666666666531,0.4796333185922441,,,,,
5,4,10-10-20-20-40,1.499999999999872,1.3019562819148396,0.6666666666666629,0.44804371808494703,,,,,
5,4,10-10-10-30-40,1.5000000000003508,1.4999999999999154,1.1445955880516596,0.3276266341708579,,,,,
5,4,20-20-20-20-20,0.6666666666666676,0.6666666666666671,0.6666666666666653,0.6666666666666634,,,,,
5,4,10-20-20-20-30,1.4092555702967047,0.6666666666666661,0.6666666666666657,0.479633318592179,,,,,
5,4,10-10-20-20-40,1.4999999999999978,1.301956281914983,0.666666666666667,0.4480437180850169,,,,,
5,4,10-10-10-30-40,1.4999999999999998,1.4999999999999984,1.144595588051466,0.327626634170758,,,,,
5,4,20-20-20-20-20,0.6666666666666683,0.6666666666666672,0.6666666666666661,0.6666666666666252,,,,,
5,4,10-20-20-20-30,1.4092555702967047,0.6666666666666682,0.6666666666666671,0.47963331859218283,,,,,
5,4,10-10-20-20-40,1.5000000000000804,1.3019562819149852,0.6666666666666738,0.4480437180850266,,,,,
5,4,10-10-10-30-40,1.4999999999999991,1.4999999999999916,1.1445955880514558,0.32762663417075666,,,,,
5,4,20-20-20-20-20,0.6666666666666683,0.6666666666666655,0.6666666666666637,0.6666666666666352,,,,,
5,4,10-20-20-20-30,1.4092555702967018,0.6666666666666681,0.6666666666666397,0.4796333185921803,,,,,
5,4,10-10-20-20-40,1.500000000000035,1.3019562819149841,0.6666666666666665,0.4480437180850221,,,,,
5,4,10-10-10-30-40,1.4999999999999916,1.499999999999868,1.144595588051458,0.3276266341707531,,,,,
5,4,20-20-20-20-20,0.6666666666666687,0.6666666666666669,0.666666666666666,0.6666666666666654,,,,,
5,4,10-20-20-20-30,1.409255570296708,0.6666666666666669,0.6666666666666663,0.47963331859218,,,,,
5,4,10-10-20-20-40,1.500000000000002,1.3019562819149832,0.666666666666666,0.4480437180850175,,,,,
5,4,10-10-10-30-40,1.499999999999997,1.4999999999999907,1.144595588051467,0.3276266341707571,,,,,
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818182514202,0.8181818181834402,0.8181818181821983,0.8181818181818258,0.8181818181818076,0.8181818181816658,0.8181818181812689,0.818181818177439,0.8181818181739203
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272853194,1.7272727271324055,1.5726343142028203,0.818181818189609,0.8181818181848503,0.8181818181818532,0.8181818181766939,0.6055759745097766,0.4278503173569688
10,9,5-5-5-5-5-5-5-15-20-30,1.727272727372143,1.7272727272780217,1.7272727272745747,1.7272727272716535,1.7272727272625736,1.7272727271899728,1.243778484871997,0.46368576981007553,0.29253574532132515
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181879171,0.8181818181859103,0.8181818181825017,0.818181818182019,0.8181818181817709,0.8181818181816737,0.8181818181812733,0.818181818176378,0.8181818181301228
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272694846,1.7272727271466128,1.572634314192832,0.818181818186226,0.8181818181819922,0.8181818181801825,0.8181818181791403,0.6055759745089314,0.4278503173548833
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727276710458,1.7272727272945985,1.7272727272762793,1.7272727272735202,1.7272727272630015,1.7272727272501422,1.2437784848947728,0.4636857698114928,0.2925357453316363
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181818298,0.8181818181818206,0.818181818181819,0.8181818181818189,0.8181818181818172,0.8181818181818168,0.8181818181818167,0.8181818181818156,0.8181818181818069
10,9,5-5-5-10-10-10-10-10-15-20,1.727272727272789,1.7272727272726907,1.5726343141905657,0.8181818181818189,0.8181818181818182,0.8181818181818181,0.818181818181816,0.6055759745106903,0.42785031735936635
10,9,5-5-5-5-5-5-5-15-20-30,1.72727272727274,1.7272727272727353,1.7272727272727277,1.727272727272727,1.727272727272724,1.7272727272727,1.2437784848697695,0.46368576981002224,0.29253574532020793
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818182622874,0.81818181819176,0.8181818181864086,0.8181818181819334,0.8181818181817676,0.8181818181815388,0.8181818181783922,0.8181818181675977,0.8181818181030022
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272791109,1.7272727269233081,1.572634314040146,0.8181818181884798,0.8181818181818742,0.8181818181795335,0.8181818181220594,0.60557597449395,0.4278503172825106
10,9,5-5-5-5-5-5-5-15-20-30,1.727272727324381,1.7272727272907111,1.7272727272754762,1.727272727264521,1.7272727272457729,1.7272727267428483,1.2437784847452142,0.46368576980022397,0.2925357452649752
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818337814407,0.8181818182703104,0.8181818181902999,0.8181818181821904,0.818181818181851,0.8181818181814943,0.818181818181242,0.8181818181798874,0.8181818181081866
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727278816566,1.7272727265199828,1.5726343101406401,0.8181818192129797,0.8181818181819205,0.8181818181756262,0.8181818181360333,0.605575974360463,0.42785031587929434
10,9,5-5-5-5-5-5-5-15-20-30,1.727272727372753,1.7272727273061637,1.7272727272764654,1.7272727272716317,1.7272727272543842,1.7272726877363112,1.243778479015718,0.4636857694087854,0.29253574234397267
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181818871,0.8181818181818333,0.8181818181818213,0.8181818181818199,0.8181818181818187,0.8181818181818163,0.818181818181816,0.8181818181818155,0.8181818181817428
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272732438,1.7272727272727166,1.5726343141905847,0.8181818181819064,0.8181818181818294,0.8181818181818193,0.8181818181818162,0.6055759745106978,0.4278503173593754
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272730906,1.7272727272727275,1.7272727272727266,1.7272727272727244,1.7272727272727133,1.7272727272724777,1.2437784848697138,0.4636857698100174,0.292535745320194
10,9,10-10-10-10-10-10-10-10-10-10,0.818181818182133,0.8181818181818798,0.8181818181818368,0.8181818181818201,0.8181818181818173,0.8181818181818135,0.8181818181818106,0.8181818181817984,0.8181818181771119
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272727793,1.727272727270678,1.5726343141848325,0.818181818181863,0.8181818181818215,0.8181818181815977,0.8181818181814282,0.6055759745104173,0.42785031735763857
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272731703,1.7272727272727866,1.727272727272735,1.72727272727272,1.7272727272726687,1.7272727272699984,1.2437784848690572,0.4636857698099711,0.2925357453198737
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818187613649,0.818181818181959,0.818181818181854,0.8181818181818279,0.818181818181792,0.8181818181817293,0.8181818181814645,0.818181818180674,0.8181818181795671
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272735895,1.7272727267435106,1.5726343138439374,0.8181818181836439,0.818181818181741,0.818181818181676,0.8181818181573982,0.6055759744911376,0.4278503172393956
10,9,5-5-5-5-5-5-5-15-20-30,1.727272727273343,1.7272727272730057,1.7272727272727613,1.72727272727257,1.727272727269866,1.7272727262668943,1.24377848469355,0.46368576979058157,0.2925357452316535
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818183229039,0.8181818181837381,0.8181818181820769,0.8181818181818239,0.8181818181818228,0.8181818181818084,0.8181818181817793,0.8181818181816977,0.8181818181800119
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727273092203,1.7272727272726416,1.5726343143464223,0.8181818182729238,0.8181818181819577,0.8181818181818079,0.8181818181776808,0.605575974514309,0.4278503173599806
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727274795434,1.72727272727484,1.7272727272729032,1.7272727272727422,1.7272727272706985,1.7272727271664725,1.2437784848732119,0.4636857698101122,0.29253574532237236
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181820951,0.8181818181818903,0.8181818181818401,0.8181818181818191,0.8181818181818034,0.8181818181817861,0.8181818181817665,0.8181818181811435,0.8181818177464674
